id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
adams_l_8886167_1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adams_l_8886167_1,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adams_l_8886167_1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adams_l_8886167_1,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adams_s_8590001_3,0,2,0.333333,1.442695,1.000000,2.000000,0.066667,1.000000,4.000000,0
adams_s_8590001_3,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adams_s_8590001_3,2,8,0.725379,3.245862,1.000000,1.891453,0.061387,7.000000,16.875000,0
adams_s_8590001_3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adams_s_8590001_3,4,20,0.493273,4.111267,1.000000,1.437375,0.027745,11.555556,37.444444,0
adams_s_8590001_3,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adany_i_8019976_1,0,5,0.360000,1.729052,1.000000,1.714662,0.044547,4.000000,15.400000,0
adany_i_8019976_1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adany_i_8019976_1,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adany_i_8019976_1,3,8,0.620727,3.005234,1.000000,1.742759,0.036831,7.000000,19.000000,0
adany_i_8019976_1,4,19,0.516089,3.863672,1.000000,1.424675,0.020486,9.875000,30.125000,0
adany_i_8019976_1,5,51,0.421146,4.815716,1.000000,1.273324,0.016845,13.586207,47.241379,0
adany_i_8019976_1,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adany_i_8019976_1,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
addo_m_515059_1,0,5,0.510769,2.103834,1.000000,1.766222,0.080641,4.000000,14.800000,0
